ID,Modeltype,Time,Observation,Observation ID
20,3,23,2910.444103,1
20,3,26,3752.025454,1
20,3,29,4177.918382,1
21,3,0,10,1
21,3,7,193.0058286,1
21,3,11,267.0229653,1
21,3,14,300.1483881,1
21,3,17,584.8209378,1
21,3,20,1551.825192,1
21,3,23,1602.89895,1
21,3,26,1965.341758,1
21,3,29,3107.251668,1
22,3,0,10,1
22,3,7,176.7280592,1
22,3,11,17.43704563,1
22,3,14,73.10261723,1
22,3,17,92.11982629,1
22,3,20,84.33773895,1
22,3,23,331.627248,1
22,3,26,492.9409166,1
22,3,29,806.0216337,1
23,3,0,10,1
23,3,7,146.5289878,1
23,3,11,568.0324699,1
23,3,14,539.047765,1
23,3,17,577.8059396,1
23,3,20,833.8709412,1
23,3,23,1835.214003,1
23,3,26,2070.919592,1
23,3,29,3511.729348,1
24,3,0,10,1
24,3,7,243.5650075,1
24,3,11,376.2057748,1
24,3,14,326.4048321,1
24,3,17,409.4432186,1
24,3,20,541.649322,1
24,3,23,561.3628556,1
24,3,26,488.9623901,1
24,3,29,830.7083481,1
25,3,0,10,1
25,3,7,157.2917884,1
25,3,11,271.3647494,1
25,3,14,262.7045873,1
25,3,17,288.9634667,1
25,3,20,462.9753982,1
25,3,23,755.254998,1
25,3,26,786.0794027,1
25,3,29,913.408308,1
26,3,0,10,1
26,3,7,166.4530183,1
26,3,11,329.8833734,1
26,3,14,222.8726587,1
26,3,17,260.5542154,1
26,3,20,436.5728262,1
26,3,23,721.223175,1
26,3,26,509.9018891,1
26,3,29,900.3907357,1
27,3,0,10,1
27,3,7,193.978149,1
27,3,11,297.9000914,1
27,3,14,470.8002319,1
27,3,17,675.5867665,1
27,3,20,728.6228814,1
27,3,23,1315.01357,1
27,3,26,1258.334307,1
28,4,0,10,1
28,4,7,216.7853031,1
28,4,11,101.3791448,1
28,4,14,46.26928505,1
28,4,17,28.88450687,1
28,4,20,0,1
28,4,23,0,1
28,4,26,0,1
28,4,29,0,1
29,4,0,10,1
29,4,7,268.106222,1
29,4,11,62.14956337,1
29,4,14,35.84294037,1
29,4,17,0,1
29,4,20,0,1
29,4,23,0,1
29,4,26,0,1
29,4,29,0,1
30,4,0,10,1
30,4,7,193.0058286,1
30,4,11,60.16263914,1
30,4,14,17.43704563,1
30,4,17,21.03823963,1
30,4,20,9.491525424,1
30,4,23,50.86864407,1
30,4,26,60.09677966,1
30,4,29,57.54710622,1
31,4,0,10,1
31,4,7,176.7280592,1
31,4,11,130.8693009,1
31,4,14,108.5150776,1
31,4,17,166.4530183,1
31,4,20,108.1144068,1
31,4,23,110.1226921,1
31,4,26,139.5835593,1
31,4,29,180.5150094,1
32,4,0,10,1
32,4,7,146.5289878,1
32,4,11,9.491525424,1
32,4,14,9.491525424,1
32,4,17,0,1
32,4,20,0,1
32,4,23,0,1
32,4,26,0,1
32,4,29,0,1
33,4,0,10,1
33,4,7,243.5650075,1
33,4,11,248.8330635,1
33,4,14,99.81547353,1
33,4,17,76.64517893,1
33,4,20,202.8019391,1
33,4,23,966.0970495,1
33,4,26,1021.115612,1
33,4,29,0,1
34,4,0,10,1
34,4,7,157.2917884,1
34,4,11,211.7556085,1
34,4,14,94.40687475,1
34,4,17,0,1
34,4,20,0,1
34,4,23,9.491525424,1
34,4,26,9.491525424,1
34,4,29,9.491525424,1
35,4,0,10,1
35,4,7,166.4530183,1
35,4,11,172.0321636,1
35,4,14,441.0439236,1
35,4,17,836.2455135,1
35,4,20,1003.560858,1
35,4,23,222.4650892,1
35,4,26,358.5080805,1
35,4,29,487.7709294,1
36,4,0,10,1
36,4,7,193.978149,1
36,4,11,139.496365,1
36,4,14,9.491525424,1
36,4,17,9.491525424,1
36,4,20,0,1
36,4,23,0,1
36,4,26,0,1
36,4,29,0,1
